role_id,course_id
R0001,77908
R0001,999001
R0001,999002
R0002,1971
R0003,3588
R0003,3600
R0003,C003
R0003,C004
R0003,C005
R0003,C006
R0003,C007
R0003,C008
R0003,C009
R0003,C010
R0003,C011
R0003,C012
R0003,C013
R0003,C014
R0003,C015
R0003,C016
R0004,3600
R0004,C029
R0004,C035
R0005,C001
R0005,3600
R0005,C013
R0005,C014
R0006,C001
R0006,C067
R0006,C080
R0007,C001
R0007,C055
R0008,C001
R0009,C001
R0009,C058
R0009,C067
R0010,C001
R0011,C001
R0012,C001
R0013,C001
R0014,C001
R0015,C001
R0016,C001
